STATE,NAME,POPESTIMATE2020,POPEST18PLUS2020,PCNT_POPEST18PLUS
1,Alabama,4921532,3834249,77.9
2,Alaska,731158,552427,75.6
3,Arizona,7421401,5774978,77.8
4,Arkansas,3030522,2330808,76.9
5,California,39368078,30576844,77.7
6,Colorado,5807719,4557684,78.5
7,Connecticut,3557006,2838054,79.8
8,Delaware,986809,782153,79.3
9,District of Columbia,712816,583228,81.8
10,Florida,21733312,17482580,80.4
11,Georgia,10710017,8210067,76.7
12,Hawaii,1407006,1111188,79
13,Idaho,1826913,1375870,75.3
14,Illinois,12587530,9809562,77.9
15,Indiana,6754953,5188514,76.8
16,Iowa,3163561,2438002,77.1
17,Kansas,2913805,2217059,76.1
18,Kentucky,4477251,3475334,77.6
19,Louisiana,4645318,3564038,76.7
20,Maine,1350141,1101973,81.6
21,Maryland,6055802,4721883,78
22,Massachusetts,6893574,5552051,80.5
23,Michigan,9966555,7839742,78.7
24,Minnesota,5657342,4356123,77
25,Mississippi,2966786,2273653,76.6
26,Missouri,6151548,4780119,77.7
27,Montana,1080577,850894,78.7
28,Nebraska,1937552,1462537,75.5
29,Nevada,3138259,2440679,77.8
30,New Hampshire,1366275,1113141,81.5
31,New Jersey,8882371,6947836,78.2
32,New Mexico,2106319,1633828,77.6
33,New York,19336776,15348422,79.4
34,North Carolina,10600823,8294423,78.2
35,North Dakota,765309,583680,76.3
36,Ohio,11693217,9124576,78
37,Oklahoma,3980783,3027263,76
38,Oregon,4241507,3380729,79.7
39,Pennsylvania,12783254,10162497,79.5
40,Rhode Island,1057125,855276,80.9
41,South Carolina,5218040,4100115,78.6
42,South Dakota,892717,674238,75.5
43,Tennessee,6886834,5373433,78
44,Texas,29360759,21925627,74.7
45,Utah,3249879,2320603,71.4
46,Vermont,623347,510181,81.8
47,Virginia,8590563,6724143,78.3
48,Washington,7693612,6027818,78.3
49,West Virginia,1784787,1428520,80
50,Wisconsin,5832655,4574131,78.4
51,Wyoming,582328,449237,77.1
